team_name,AdjO,AdjD,SOS AdjO,SOS Adj D,eFG%,TOV%,ORB%,FTR,Hgt,%2P,%3P,%FT,Tempo,Blk%,Stl%,Def %FT,Def %2P,Def %3P,NST%,A%,3PA%,HomeAdvantage
Washington St.,111.6,108.1,110.2,106,56.5,20.7,31.8,32.3,78.4,50,33.3,16.7,66.5,8.2,11.2,18.3,50.5,31.2,9.5,58.4,41.4,5.36
Wichita St.,107.9,104.4,108.4,106.4,49,16.2,32.4,27.7,76.6,59.4,20,20.6,66.7,10.4,9.9,15.5,50.7,33.9,6.3,44.3,27.9,5.36
Belmont,113.6,110.2,107.2,107.4,55,15.6,27,26.3,78.1,45.6,39.8,14.7,65.5,9.8,9.6,14.9,48.7,36.3,6,59.6,44.5,5.36
Louisiana Tech,110.4,107.1,106.4,105,52.7,19,29,31.1,77,47.2,32.8,20,67.4,8.6,10.5,18.4,50.1,31.5,8.4,58.9,42.7,5.36
Loyola Chicago,107.7,104.4,106.8,106.9,53.3,17.8,29,33.2,77.8,48.6,34.5,16.9,72,9.7,9.6,19.5,46.8,33.8,8.2,60.5,41.9,5.36
Kent St.,107,103.7,106.2,109.7,48.7,17.4,36.5,40.2,75.4,52.2,28.5,19.3,67.9,8.7,9.4,23.8,45.6,30.5,8,47,37.7,5.36
DePaul,109.4,106.1,111.2,102.8,52.1,18,27.9,29.1,77.2,45.5,38.8,15.7,65.5,10.5,10.4,16.5,53.9,29.6,7.7,59.8,47,5.36
UNC Greensboro,108.6,105.8,107.5,109.1,51.1,15.2,31.1,33.9,76.2,44.4,38.1,17.5,66.3,7.2,8.5,20.4,45.6,34,6.7,49.1,42.9,5.36
North Dakota St.,115.8,113,108.1,110.9,58.2,15.6,26.2,27.1,76.5,36.9,45,18.1,61.4,9.3,8.8,15.6,51.3,33.1,6.8,55.2,53.6,5.36
Wofford,112.2,109.4,107.6,107.6,52.6,17.4,35.7,35.5,76.4,46.4,38.1,15.5,66.9,9.6,9.6,19.1,44.1,36.9,7.8,55.4,47.2,5.36
UC Riverside,111.4,108.6,108.5,105.7,49.5,16.1,33.1,33.8,77.1,46.5,35.4,18.1,0,8.7,7.7,19.7,50.5,29.8,8.4,48.2,41.8,5.36
East Tennessee St.,107.8,105.1,106.2,109.4,50.3,16.3,36.2,33.5,76.7,46.6,35.5,17.9,65.3,10.1,9,18.3,48,33.7,7.3,50.9,41.7,5.36
Northern Colorado,112,109.4,106.3,110.1,57.1,15.5,24.8,34.1,77,52,30.5,17.5,66.4,9.4,8.8,19.2,52.7,28.1,6.7,53.5,38.5,5.36
Duquesne,106.2,103.5,107.5,105.8,49.7,18.2,33,41.1,76.8,46.2,37,16.8,67.2,10.4,9.6,23,47.5,29.4,8.6,55.7,43.1,5.36
South Dakota St.,109.9,107.4,108.7,110.3,53.6,17.6,33.6,29.9,77.2,50.1,31.9,18,67.9,7.5,10.2,18.3,43.8,37.9,7.4,49,40,5.36
Cornell,114.3,111.8,106.1,108.5,58,17.3,26.6,31.3,76.9,44.8,39.4,15.8,68,7,9.4,17.4,50.5,32.2,7.9,61.5,48.5,5.36
Kennesaw St.,105.6,103.3,107.5,104.7,48.8,20.2,32.8,43.5,77.6,45.7,32.2,22.1,66.5,11.7,11.9,24.2,47.2,28.6,8.4,49.7,45.4,5.36
Seattle,105.6,103.4,105.6,105.2,46.6,17,30.5,36.5,76.7,47.3,28.6,24.1,68.1,11.3,9.8,20,49.8,30.3,7.2,50.3,37.2,5.36
Davidson,111,109,107,106.4,52.4,14.5,25.3,28.1,78.4,48.8,33.7,17.5,67.3,9.1,8.8,15.8,50.5,33.7,5.7,57.2,41.5,5.36
Western Kentucky,104.8,102.8,107.4,104.7,48.6,15.8,23.1,40.6,76.2,48,32.3,19.6,0,11.5,9.6,24.2,43.9,31.9,6.2,44.8,40,5.36
Illinois St.,112.3,110.4,108.2,107.8,56,15.8,24.6,31.4,76.2,44,39,17,69.5,8.9,8,18,46.3,35.8,7.8,54.3,47.5,5.36
Murray St.,106.7,104.8,108.4,106.6,49.4,17,29.1,35.5,77,45.3,31.5,23.2,65.1,10.3,8.9,20.4,55.5,24.1,8,48.9,40.1,5.36
UC Santa Barbara,109.2,107.5,105,108.4,55.5,18.5,27.5,31.5,77.8,42.6,40.6,16.8,63.9,6.8,9.4,19.8,51.5,28.6,9.1,57.8,46.2,5.36
Milwaukee,107.8,106.2,106.5,109.5,51.4,19.4,39.8,32.4,76.6,56.5,23.3,20.1,66.4,10.3,10.2,18.7,50.6,30.7,9.2,49.5,31.5,5.36
Rhode Island,109.3,107.7,106.5,106.3,53.2,18,28,29.9,77.3,49.9,29.1,21,69.4,11.1,11.4,18,50.9,31.1,6.6,51.5,37.7,5.36
Robert Morris,106.2,104.7,105,111.5,51.2,18.6,35,29.5,76.9,49.6,29,21.3,70.7,9.1,10.2,17.6,53.1,29.3,8.4,59.6,36.8,5.36
Furman,108.4,107,106.2,108.2,52.5,16.8,30.1,28.5,77.8,40.2,41.3,18.5,0,11.7,10.6,17.6,51.6,30.7,6.2,65.3,50.9,5.36
Loyola Marymount,104.8,103.4,109.3,106.4,50.3,15.2,22.8,28.4,78.9,50.1,33,16.9,64.5,6.4,7.8,18.5,52.5,29,7.3,50.4,40,5.36
UTEP,106.3,105.3,107,104.7,49.9,16.6,24.4,40.3,76.9,48.9,29.9,21.2,65.4,9.2,8.8,21.6,47.9,30.5,7.8,52.3,36.1,5.36
Towson,106.7,105.7,106.2,108.2,47.7,14.7,34.9,30.5,77.3,50.6,32.4,17,69.9,8.4,8.4,17.7,50.7,31.7,6.2,42.1,37.5,5.36
James Madison,111.4,110.6,106,107.4,51.1,16,32,33.1,76.9,44,37.4,18.6,67.5,7.5,8.6,18.9,51.7,29.4,7.4,46.4,45.3,5.36
Charleston,106.8,106,106.2,108.6,52.5,16.1,26.2,27,77.6,48.8,32.6,18.6,65.1,9.4,9.2,15.9,52.3,31.8,7,58.7,39.8,5.36
Radford,110.3,109.7,107.2,109.3,50.8,17.8,33.9,36.9,77.5,47.1,29.2,23.8,63.9,8.6,9.7,21.6,45.1,33.3,8.1,44.8,36.3,5.36
Virginia Tech,107.9,107.4,111.4,104.8,51.5,19.5,31.3,31.1,77.3,47.9,34.5,17.6,70.1,9.7,10,18.3,49.4,32.3,9.5,52.7,40,5.36
Bryant,107.1,106.7,103.7,109.9,50.7,16.2,33.7,29.8,79,53.2,29,17.8,70.7,5.4,8.9,18.6,51.6,29.8,7.3,48.8,35.6,5.36
Cal Baptist,107,106.7,104.5,105.8,48.7,17.5,33,33.6,76.7,53.5,27.6,18.9,66.5,9,9.4,18.5,55.6,25.9,8.1,45.5,35.1,5.36
East Carolina,108.5,108.3,106.8,108.5,49.1,15.9,34.6,31.9,76.7,52.1,26.9,21,65.8,8.4,9.1,18.4,49.4,32.2,6.8,49.3,35.4,5.36
Texas A&M Corpus Chris,106.9,106.7,105.1,108.2,52.8,17.5,31.8,40.9,77.3,58.8,23.3,17.9,66,11.7,11,21.6,49.2,29.3,6.5,51.4,28.9,5.36
Tulane,107.5,107.3,106.4,108.3,51.5,16.3,27.2,32.1,78.1,49.2,30.2,20.6,72.2,9.5,9.2,19.8,45.5,34.8,7.1,55.8,39.4,5.36
Miami OH,107.8,107.7,103.9,110.1,55.4,17.5,27.5,34.2,77.4,47.3,37.3,15.4,67.3,9.9,10.3,19.3,49.6,31.1,7.2,55.3,43.2,5.36
Purdue Fort Wayne,109.6,109.8,105.6,109.1,54.7,13.8,22,30,75.2,44.7,38.7,16.6,67.7,9.9,8,17.3,52.3,30.4,5.9,47.6,45.6,5.36
Cleveland St.,104.6,104.9,105.5,109.7,49.3,18.1,34.7,37.8,76.5,55.5,25.9,18.6,67.7,9.9,9.9,20.9,46.7,32.4,8.2,52,32.9,5.36
Appalachian St.,101.6,102,106.7,109.6,49.7,16.9,27.5,22.2,77.4,46.9,34.3,18.8,66.2,10.9,10.2,15.2,51.8,33,6.7,51.5,41.1,5.36
Winthrop,109.2,109.7,106,109.9,53.4,17.8,31.1,37.7,77,49.2,27.4,23.4,67.6,10.7,9.4,20.8,48.2,30.9,8.4,43.5,38.1,5.36
Marshall,106.7,107.2,105.7,110.1,50.2,16.6,32.8,40.8,77.4,49.8,31,19.2,67.3,8.6,8.9,22.5,52.5,25,7.8,53.2,39.9,5.36
Sam Houston St.,110.6,111.1,108,103.2,51.1,18.6,30.6,33.6,76.8,44.9,34.8,20.3,75.1,8.7,10.2,18.4,47.4,34.2,8.3,49.3,38.2,5.36
Central Connecticut,102.2,102.8,101.2,112.3,52.7,16.7,26.9,18.9,75.6,57,27.3,15.7,64,5.7,9.5,11.8,52.1,36.2,7.2,50.7,34.5,5.36
Nicholls,107.4,108,105.2,106.7,48.6,14.7,30.4,36,76.6,48.9,32.5,18.6,72.4,12,8.9,20.9,50.8,28.3,5.8,42.5,36.8,5.36
Florida Gulf Coast,108.5,109.1,106.4,109.8,53.9,16.2,30,29.5,76.9,53.9,33.2,12.9,68.9,8.7,9.4,17.3,44.9,37.9,6.8,50.7,38.4,5.36
Lamar,103.3,103.9,105.7,108.1,48,18.9,35.2,34.5,77,51.8,30.9,17.3,69.4,9.6,11.4,19.4,49.5,31.1,7.5,57.4,32.6,5.36
Temple,110.7,111.3,107.4,107.3,50,15.8,32.3,35.9,77.7,50.2,25.2,24.5,69,10.5,9.9,19.8,50.6,29.6,5.9,40.2,31,5.36
Illinois Chicago,107.3,108.1,108,106.4,51.1,17.5,30,31.6,76.5,48.6,31.5,19.9,73.1,10.3,9.7,17.9,53.1,29,7.8,56,39.4,5.36
Norfolk St.,109.5,110.3,104,110.2,52.8,18.1,33,35.9,77.1,58.4,19.9,21.7,67.5,8.7,10.1,20.3,44.8,34.9,8,49.1,28,5.36
San Jose St.,108.4,109.4,109.8,104.3,50.4,16.8,26.7,28.5,77,46.5,34.9,18.6,68.9,8.8,8.8,16,55.7,28.4,8,50.6,40.9,5.36
Nebraska Omaha,111.3,112.3,107.1,109.4,52.9,15.8,29.4,37.4,77.5,48,32,19.9,67.7,8.6,8.3,20.2,45,34.9,7.5,50.1,38.6,5.36
Boston College,105.4,106.6,110.2,105,48.9,17.2,28.7,36.8,76.9,52.9,28.5,18.6,66.9,8,9.3,20.3,51,28.7,7.9,44.9,32.6,5.36
Montana,110.5,111.8,107.1,108.8,55.8,16.4,23,31.6,76.6,52.3,28.8,18.9,66,8.9,8.5,18.1,54.2,27.7,7.9,50.1,36.7,5.36
Jacksonville,102.2,103.6,108,110.2,50.1,19.3,35.2,34.5,77.4,52.4,31.5,16.1,64.3,9.2,11.5,19.2,49.2,31.5,7.8,50.3,33.9,5.36
Oakland,107.6,109,107.8,108,50,18,34.1,27.8,76.8,50.4,31.7,17.9,65.3,9.5,9.4,16.6,47.6,35.8,8.6,50.7,42.3,5.36
Eastern Kentucky,110.1,111.8,106.6,109.2,49.7,13.8,32.4,31.8,76.8,46.2,37,16.8,63.4,8.6,8.2,17.7,51.2,31.1,5.7,47,42.2,5.36
Wyoming,104.5,106.2,110.3,104.8,50.6,19.9,29.8,41,77.7,47.9,35.6,16.5,67.2,9.7,10.4,22.2,49.7,28.1,9.5,48.9,41,5.36
Montana St.,106.5,108.3,106.6,108.5,53,15.1,21.1,32.3,78.5,47.5,34.4,18.1,65.5,7.6,8.5,20.3,56.2,23.5,6.6,51.7,42.9,5.36
Elon,107.3,109.1,105.7,108.9,50,19.2,36.3,24.2,79.7,45.6,31.7,22.7,66.4,8.1,11.4,15.3,47.1,37.7,7.8,48.5,41.8,5.36
Merrimack,101.3,103.1,104.6,109.7,49.6,13.9,21.3,29.4,75.5,48.9,35.8,15.3,66.2,8.7,7.8,18.1,53.1,28.8,6.1,49.2,42.3,5.36
Rice,107.4,109.4,105.9,107.7,48.8,17.9,33.8,34.8,78,45.4,31.3,23.3,64.2,10.2,10.8,20.6,49.8,29.6,7.1,51.1,39.3,5.36
Southeast Missouri,103.5,105.6,102.4,109.7,52.1,15.5,24.4,42.5,75.5,52.9,30.4,16.7,66.1,7.6,8.5,24.5,52.6,22.8,7.1,48.2,35.8,5.36
UNC Asheville,110.2,112.3,106.9,110.1,52.2,14.6,29.8,39.8,77.2,53.2,27.9,18.9,65.8,5.2,7.6,20.9,49.2,29.8,7,45.4,34.6,5.36
Dartmouth,101.7,103.9,106.4,110.4,50.7,15.9,23,23,76.4,42.4,39.2,18.4,64.4,8.9,9.2,14.1,56.2,29.7,6.7,58.2,46.8,5.36
UTSA,107.4,109.7,108.2,106.2,49.5,15.8,26.6,44.3,76.5,41.7,39.3,19.1,72.2,13.1,10.1,23.2,48.1,28.8,5.8,48.7,44.9,5.36
South Carolina St.,103.7,106.1,103.7,111.3,50.8,19.7,35.6,47.1,77.5,51.6,24.9,23.5,0,7.8,10.2,24.6,50.8,24.6,9.4,56,33,5.36
Princeton,105.4,107.8,107.6,108.3,50.7,15.3,26.7,31.8,76.5,43.1,41.8,15.1,70.5,12.9,9.4,18.2,47.6,34.1,5.9,55.1,47.9,5.36
Massachusetts,103.8,106.3,107,105.5,45.8,16.4,34.4,36.2,76.8,56.1,23.9,20,67.9,8.5,8.9,20.9,48.1,31,7.4,48.6,31.9,5.36
Southeastern Louisiana,105.3,107.8,105.3,108.9,49.5,17.5,30.8,36.9,76.8,53.7,25.4,20.9,69.1,10.2,9,19.4,47.2,33.4,8.5,46.8,32.3,5.36
Portland St.,101.4,104.2,106.5,110.7,50.7,18.6,33.8,34.2,77.8,57.9,24,18.1,67.5,8.2,9.5,20.2,50.5,29.3,9.1,47.9,30.5,5.36
South Florida,104,106.8,108.9,108.3,50.1,16.3,27.6,36.7,76.6,51.1,28.8,20.1,66.3,9.9,9.3,21.3,49.2,29.4,7,54.4,38,5.36
Miami FL,114.1,116.9,111,102.8,52,16.1,28.4,28.4,77.8,54.5,29.2,16.4,63.4,8.2,9.1,15.4,49.8,34.8,7,47.3,38.8,5.36
Ohio,106.9,109.7,106.4,109.8,53.5,15,23.8,35.8,76.1,48.3,32.3,19.4,69.4,8.4,9.3,19.2,52.2,28.6,5.7,50.6,40.8,5.36
Idaho St.,106.8,109.6,106.2,109.9,48.3,16.3,38.4,33.4,77.6,50.4,28.4,21.2,67.1,10.1,8.7,17.9,50.1,32,7.5,48.4,36.7,5.36
Southern Illinois,106,108.7,109,107.5,51.6,18.3,30.3,33.7,77.8,53.6,28,18.4,65.8,8.3,10.5,18.5,48,33.5,7.8,52.4,33.6,5.36
Cal Poly,108.2,111,107.4,105.5,54.4,21.3,27.7,32.4,76.4,42.5,41.1,16.4,65.3,10.2,12.4,18.8,49.9,31.3,8.9,51.3,51.2,5.36
Seton Hall,100,102.9,111.9,102.4,44.8,18.9,31.6,39,78.3,54.5,25.6,19.9,71.2,10.9,10.5,20.5,43.9,35.6,8.4,50.4,30.5,5.36
Drexel,101.9,104.9,105.7,110.5,51.6,19,32.6,28.1,77.6,54.8,31.5,13.8,68.1,7.6,11,17.1,54.1,28.8,8,48.3,36.9,5.36
Texas St.,110,112.9,104.8,107.4,50.7,18.1,35.1,41.6,76.5,55.2,23.6,21.2,59.4,10.1,10.8,23.1,46.4,30.5,7.3,52.6,28,5.36
Queens,106.7,109.9,106.5,109.6,52.3,18,31.1,32.1,77.9,45.9,35.9,18.2,67.4,10.4,11.4,17.9,50.7,31.4,6.6,59.8,44.2,5.36
Central Michigan,105.9,109,106.6,108.7,49.8,17.6,32.1,31.3,77.7,54.2,24.9,20.8,68,8.8,9.2,17.2,45.9,36.9,8.5,48.9,33.3,5.36
Quinnipiac,101.6,104.8,102.9,109.1,48.4,18.1,33.3,28.2,77.4,52.5,28,19.5,71.1,11.4,11.1,16.8,47,36.1,7.1,52.3,37.8,5.36
Youngstown St.,102.2,105.4,105.6,110.8,49.9,17.8,29.2,35.7,76.8,44.8,33.8,21.4,68.1,8.4,9.5,20.6,53.4,26,8.3,50.7,46.1,5.36
Indiana St.,109.4,112.7,107.1,106.9,54.6,19.5,26.2,38.8,77.5,41.5,38.6,19.8,68,11.7,11.2,20.3,49.6,30.1,8.2,57.8,50.1,5.36
Northeastern,104.3,107.6,104.7,108.4,51.1,18.4,31,30.1,77.6,54.9,29.2,15.9,68.6,10,10.4,17.1,52.7,30.2,8,50.4,35.1,5.36
Campbell,102.7,106.1,105.5,109.4,50.2,15.8,24.4,30.6,77.5,48.3,33.1,18.7,69.8,10.2,9.5,17,55.7,27.3,6.3,54.5,42.3,5.36
Brown,103.8,107.5,106.1,110,51.5,16.9,29.7,28.6,76,52.3,33.2,14.6,63.2,9.9,10,17.2,51.9,30.9,7,54.1,40.1,5.36
Longwood,106.3,110.1,107.1,110.8,51.3,18,32.1,38.2,75.5,51,24.7,24.3,66.1,7.8,10.2,19,50.5,30.4,7.8,49.8,33.9,5.36
Hampton,104.4,108.4,106.8,109.2,47.8,16.1,33.8,42.8,76.8,50.8,30.9,18.3,66.2,8,8.6,22.6,49.9,27.4,7.5,42.9,36.6,5.36
Hofstra,98.8,102.7,105.7,108.2,49,17.5,25.2,37.8,77,48.1,36.2,15.7,69.4,8.9,9.3,22.4,42.7,34.9,8.2,55.7,42.6,5.36
Valparaiso,106.3,110.3,106.9,106.9,47.8,14,26.4,34.9,77,48,30.1,21.9,68.8,8.9,8.8,18.7,52.3,29,5.2,44.5,38.3,5.36
William & Mary,108.6,112.7,105.7,108.1,54.2,18.3,26.1,35.5,77.7,40.8,39.9,19.3,65.2,11.1,10,19.5,48.7,31.8,8.3,61.8,51.6,5.36
Bucknell,102.9,107.4,103.8,110.9,53.8,18.6,25.8,34.1,76.7,48.8,33,18.3,68.5,9.4,10.8,18.6,47.3,34.1,7.8,52.2,40.8,5.36
UT Arlington,107.6,112.2,104.2,106,51.8,19.4,32.3,33.9,76.8,45.7,35,19.4,0,10.5,11.1,19.9,49.5,30.6,8.3,53.9,42.1,5.36
Abilene Christian,98.3,103,104.9,106.2,46.9,20.3,29.1,51.1,77.3,59,18.7,22.3,65.1,10.8,10.9,25.6,50.6,23.7,9.4,50.9,25.5,5.36
Wright St.,110,114.7,106.5,109.7,56.4,17.8,27.8,34.5,76.6,52.3,33.3,14.4,67.8,7.8,10.6,18.6,51.1,30.3,7.2,52.3,37.8,5.36
Hawaii,103.6,108.4,106.3,107.4,50.7,20.7,31,34,77.9,51.3,26,22.7,66.1,8,11.4,20.5,52.3,27.1,9.3,48.7,36.9,5.36
Maine,101.6,106.6,103.8,111.1,52.1,15.9,22.1,29.8,77.2,53.8,29.7,16.5,65.6,7.2,8.8,17.4,51.9,30.7,7,56.1,34,5.36
Little Rock,99.6,104.7,102.2,109.7,49.5,20.4,30.4,37.9,78.1,55,27.8,17.1,69,7.3,12.3,22.5,42.9,34.6,8.1,52.6,30.3,5.36
Vermont,101.1,106.1,104.3,110.6,49.4,16.9,26.1,27.1,77.8,46.5,35.5,18.1,67.5,11.1,9.4,16.9,50.4,32.7,7.4,50,43.2,5.36
Southern,100.1,105.2,102.9,109.5,47.6,18.1,33.9,42.8,76.1,53.3,26.2,20.5,67.6,12.2,10,23,45.7,31.2,8.1,48.7,33.6,5.36
South Dakota,110.3,115.5,107.5,110.8,50.4,12.6,30.3,35.1,77.4,49.2,26.4,24.4,66.8,8.3,6.4,18.8,50,31.2,6.2,38.9,37.1,5.36
Presbyterian,105.1,110.5,107.4,109.8,51.2,16.3,29.6,39.2,77.5,52.9,29.9,17.2,67.7,8.4,9.6,21.1,52,26.9,6.7,47.4,34.2,5.36
Northwestern St.,102.3,107.8,106.6,107.4,48.7,20.4,33.5,32.6,76.4,51,30.1,18.8,68.3,11.6,11.2,19,46.3,34.8,9.2,52.4,35.1,5.36
SIUE,102.4,107.9,102,110.9,49,17.1,31.6,33.6,77.2,50.3,31.3,18.4,0,8.1,9.7,19.6,47.8,32.5,7.4,51.7,36.8,5.36
Northern Kentucky,103,108.7,106.6,109.2,49.8,17.3,31,29.3,77.6,49.8,32.8,17.4,66.2,9,9.6,17.1,47.8,35.1,7.6,54.2,40.3,5.36
Pepperdine,105.8,111.6,107.9,106.2,49.3,16.5,28.3,26.4,78.6,52.5,28.7,18.8,69,8.6,9.2,16,51.9,32.1,7.3,59.6,34.2,5.36
UMass Lowell,109.1,114.9,102,109.2,54.6,17.9,26,25.1,76.7,54.6,26.9,18.5,65.5,9.1,10.6,14.6,54.3,31.1,7.3,52.5,34.8,5.36
Manhattan,109.5,115.4,101.7,110.1,51.2,16.9,32.6,25.5,75.1,47,34.3,18.7,67.7,11.1,10.6,15.4,49.9,34.6,6.4,57,41.5,5.36
Kansas City,100.7,106.6,108.6,110.8,48.4,18.7,32.9,35.2,77.5,44.1,36.2,19.7,69.3,8.1,9.9,20,49.5,30.4,8.8,48.1,44,5.36
Cal St. Bakersfield,107.2,113.2,106.4,106.9,48.3,18.8,35.6,46.6,76.6,52.5,25.7,21.9,68.3,7.5,8.2,24.3,44.7,30.9,10.6,38.1,28.3,5.36
Fordham,105.7,111.8,106.9,105.2,48.6,18.8,31.5,38.6,76.4,47.9,33,19,67.2,10.6,10.3,20.7,54.7,24.6,8.5,53,41.5,5.36
La Salle,103,109.1,108,105.6,45.6,15.5,30.6,28.8,76.8,52.8,28,19.3,63.9,8.6,8.9,16.1,51.7,32.2,6.6,45.1,33.6,5.36
UT Rio Grande Valley,104.9,111.1,105,108.3,51.7,19.2,30.8,29.9,76.1,47.4,39.1,13.5,70.8,7.8,10.2,17.8,54,28.2,9,57,49,5.36
Richmond,103.4,109.8,108.5,105.7,48.3,15.3,19.3,36.7,76.7,45.1,34.8,20.1,66.6,9.2,9.2,20.2,40.8,39,6.1,51.1,45.4,5.36
UC Davis,97.3,103.7,107.8,107.5,46,19.5,27.5,40.3,76.4,48.2,27.8,23.9,66.7,7.4,9.8,23.6,46.5,29.9,9.7,46.2,35.3,5.36
Toledo,111.9,118.4,106.2,108.6,50.5,13.8,29.6,25.4,77.4,56.8,23,20.2,67.9,7.3,8.6,14.2,52.7,33.1,5.2,46.4,28.8,5.36
